merchant_id,country,city,category,onboard_ts,risk_band
1,AE,Ajman,grocery,2025-03-19T03:15:11,low
2,SA,Riyadh,books,2025-06-05T22:48:34,low
3,SA,Khobar,grocery,2025-06-03T11:39:27,low
4,SA,Tabuk,grocery,2025-11-21T14:09:19,low
5,SA,Riyadh,grocery,2024-10-07T04:11:05,low
6,SA,Jeddah,electronics,2024-11-10T07:00:17,low
7,SA,Riyadh,electronics,2024-01-27T06:38:34,low
8,SA,Jeddah,beauty,2024-07-30T13:12:37,medium
9,SA,Riyadh,electronics,2024-03-08T19:16:27,low
10,SA,Madinah,beauty,2025-03-30T09:05:42,low
11,BH,Manama,fashion,2025-04-02T14:49:35,low
12,SA,Riyadh,electronics,2024-08-01T10:08:10,low
13,SA,Makkah,home,2025-05-04T01:30:22,low
14,AE,Abu Dhabi,books,2024-09-11T03:06:30,medium
15,QA,Doha,home,2024-01-28T04:48:07,low
16,SA,Riyadh,pharmacy,2024-09-29T08:53:08,low
17,SA,Madinah,fashion,2024-12-11T19:37:34,low
18,KW,Kuwait City,electronics,2025-02-02T23:40:32,low
19,SA,Makkah,pharmacy,2024-03-03T21:31:46,low
20,SA,Riyadh,grocery,2025-02-15T23:03:39,medium
21,AE,Abu Dhabi,home,2024-03-12T15:37:35,low
22,SA,Riyadh,sports,2025-01-14T16:48:15,low
23,AE,Ajman,sports,2024-08-31T06:05:53,low
24,QA,Doha,fashion,2025-12-30T23:31:49,low
25,AE,Ajman,electronics,2025-08-05T17:51:25,low
26,SA,Dammam,electronics,2024-11-08T21:41:15,medium
27,BH,Manama,fashion,2025-10-12T00:54:17,low
28,QA,Doha,grocery,2025-03-16T13:07:54,low
29,SA,Khobar,grocery,2025-09-13T05:11:10,high
30,SA,Khobar,fashion,2024-11-03T02:37:09,medium
31,SA,Dammam,fashion,2024-06-19T18:33:55,low
32,SA,Makkah,home,2024-06-29T06:20:43,low
33,SA,Riyadh,grocery,2025-11-28T06:29:27,low
34,AE,Ajman,sports,2024-06-11T10:49:45,medium
35,SA,Riyadh,sports,2024-02-12T10:30:23,low
36,AE,Abu Dhabi,beauty,2025-09-28T04:51:51,medium
37,SA,Riyadh,beauty,2025-04-09T12:06:29,low
38,AE,Abu Dhabi,home,2024-12-19T05:24:57,low
39,AE,Sharjah,home,2024-01-08T04:39:03,low
40,SA,Tabuk,grocery,2025-05-27T20:34:24,low
41,SA,Riyadh,fashion,2025-06-24T20:14:59,low
42,OM,Muscat,electronics,2024-12-10T10:40:41,medium
43,SA,Jeddah,beauty,2024-01-28T08:35:05,medium
44,KW,Kuwait City,grocery,2025-11-07T20:15:00,low
45,EG,Alexandria,beauty,2024-12-02T21:44:03,medium
46,AE,Abu Dhabi,home,2024-08-14T02:58:19,medium
47,SA,Riyadh,grocery,2025-02-19T19:26:28,low
48,SA,Tabuk,beauty,2026-01-26T19:24:01,low
49,KW,Kuwait City,electronics,2025-03-17T21:36:39,medium
50,AE,Dubai,electronics,2025-12-14T01:47:10,low
51,SA,Tabuk,sports,2024-10-08T10:35:42,low
52,SA,Tabuk,home,2025-01-19T09:25:50,low
53,SA,Dammam,grocery,2025-11-19T09:25:13,low
54,SA,Madinah,home,2024-06-07T12:57:43,medium
55,EG,Alexandria,grocery,2024-02-09T07:37:24,medium
56,SA,Khobar,beauty,2024-08-07T06:30:47,low
57,EG,Alexandria,grocery,2024-01-15T05:51:12,low
58,SA,Dammam,home,2025-04-24T05:12:08,low
59,SA,Makkah,grocery,2025-02-14T16:45:53,low
60,SA,Jeddah,beauty,2025-05-29T10:19:20,low
61,SA,Tabuk,electronics,2024-02-01T17:30:08,low
62,SA,Dammam,beauty,2025-02-13T10:50:16,medium
63,AE,Ajman,pharmacy,2025-09-25T07:39:53,low
64,EG,Giza,beauty,2024-04-11T17:36:56,high
65,SA,Madinah,beauty,2025-01-12T07:11:24,low
66,KW,Kuwait City,pharmacy,2025-07-07T07:22:41,low
67,SA,Madinah,books,2025-06-03T07:45:00,low
68,KW,Kuwait City,home,2025-11-19T09:11:18,low
69,SA,Jeddah,beauty,2025-10-19T02:39:10,low
70,SA,Makkah,fashion,2025-01-08T20:37:33,low
71,SA,Riyadh,home,2025-04-21T12:26:14,low
72,SA,Madinah,fashion,2024-11-27T19:21:27,low
73,SA,Tabuk,home,2025-10-11T06:12:19,low
74,AE,Abu Dhabi,sports,2024-06-14T23:29:21,low
75,EG,Giza,grocery,2024-10-18T18:00:27,low
76,SA,Riyadh,beauty,2024-01-12T21:43:34,low
77,SA,Khobar,beauty,2025-03-05T14:06:26,low
78,SA,Khobar,grocery,2025-12-05T02:18:37,low
79,SA,Riyadh,beauty,2024-08-31T21:02:55,low
80,AE,Dubai,sports,2025-12-08T22:59:08,medium
81,AE,Sharjah,sports,2024-02-18T06:10:50,low
82,SA,Khobar,grocery,2024-07-19T13:16:52,low
83,SA,Khobar,electronics,2026-01-27T22:03:23,low
84,SA,Khobar,grocery,2024-12-29T03:19:31,low
85,SA,Tabuk,grocery,2025-08-23T18:45:14,low
86,SA,Riyadh,grocery,2026-01-23T17:04:20,medium
87,SA,Madinah,beauty,2026-01-21T04:31:10,low
88,BH,Manama,fashion,2025-06-13T15:21:19,low
89,OM,Muscat,books,2025-12-29T08:39:17,low
90,SA,Khobar,home,2026-02-02T21:19:46,low
91,SA,Madinah,electronics,2024-02-09T22:56:23,low
92,SA,Madinah,grocery,2024-10-08T04:34:36,low
93,SA,Jeddah,home,2025-12-29T02:26:35,low
94,KW,Kuwait City,pharmacy,2025-10-16T18:16:43,medium
95,SA,Khobar,home,2024-08-09T06:32:42,low
96,AE,Abu Dhabi,electronics,2026-02-04T17:49:32,low
97,KW,Kuwait City,home,2024-03-07T21:39:25,low
98,SA,Makkah,fashion,2026-01-31T12:12:43,medium
99,SA,Jeddah,home,2024-08-02T09:27:22,low
100,SA,Dammam,home,2024-09-17T07:58:43,low
101,SA,Dammam,beauty,2024-02-14T11:17:37,high
102,SA,Makkah,pharmacy,2024-09-20T23:46:51,low
103,EG,Alexandria,electronics,2024-04-09T17:01:11,low
104,SA,Khobar,grocery,2025-09-22T22:19:42,low
105,SA,Riyadh,books,2025-12-26T05:05:45,low
106,SA,Makkah,grocery,2025-05-04T18:29:11,low
107,SA,Tabuk,pharmacy,2025-09-02T10:01:15,medium
108,EG,Alexandria,fashion,2025-06-11T09:35:50,high
109,SA,Makkah,electronics,2025-02-22T02:45:18,low
110,SA,Tabuk,fashion,2024-09-01T08:00:57,low
111,SA,Khobar,beauty,2025-02-24T14:35:27,low
112,SA,Makkah,fashion,2024-10-22T15:27:51,low
113,SA,Makkah,grocery,2024-03-07T06:33:48,medium
114,AE,Ajman,books,2025-07-21T21:36:56,low
115,SA,Khobar,electronics,2024-12-11T07:48:20,medium
116,SA,Tabuk,fashion,2025-03-12T17:28:27,high
117,EG,Cairo,electronics,2025-11-30T19:57:32,low
118,SA,Tabuk,electronics,2025-10-13T16:21:45,low
119,EG,Cairo,sports,2024-01-24T18:08:59,low
120,QA,Doha,beauty,2025-02-25T23:39:57,low
121,EG,Giza,books,2025-08-31T12:49:20,low
122,SA,Makkah,beauty,2025-10-23T08:10:49,medium
123,SA,Khobar,grocery,2025-04-10T20:55:32,low
124,QA,Doha,home,2025-09-23T23:51:46,low
125,SA,Dammam,beauty,2024-07-04T09:53:24,low
126,SA,Tabuk,sports,2025-11-16T08:35:20,low
127,AE,Dubai,grocery,2025-01-15T11:43:35,low
128,EG,Cairo,beauty,2025-10-19T05:19:41,low
129,SA,Tabuk,books,2026-02-12T15:17:48,medium
130,SA,Riyadh,grocery,2025-06-29T00:14:35,medium
131,KW,Kuwait City,grocery,2024-12-03T20:53:16,low
132,SA,Makkah,grocery,2025-01-31T16:26:52,low
133,AE,Ajman,grocery,2025-01-28T15:10:14,low
134,EG,Giza,sports,2024-05-31T23:15:43,low
135,EG,Cairo,electronics,2024-06-08T19:36:28,low
136,SA,Khobar,electronics,2024-08-28T14:08:39,low
137,SA,Tabuk,fashion,2025-12-07T01:10:51,low
138,AE,Ajman,fashion,2025-10-19T05:05:58,low
139,QA,Doha,beauty,2026-02-24T10:21:43,low
140,SA,Makkah,electronics,2024-12-03T16:40:30,low
141,AE,Ajman,beauty,2025-04-30T17:28:13,low
142,SA,Khobar,beauty,2024-11-12T11:22:28,low
143,SA,Khobar,electronics,2024-02-06T23:05:29,low
144,SA,Makkah,pharmacy,2024-06-12T21:16:56,low
145,SA,Khobar,home,2025-02-22T04:05:16,low
146,SA,Jeddah,grocery,2025-06-24T06:22:38,low
147,SA,Tabuk,home,2024-01-24T13:12:35,low
148,SA,Riyadh,electronics,2025-06-09T16:31:40,low
149,SA,Tabuk,beauty,2024-06-01T22:37:25,medium
150,SA,Dammam,electronics,2025-10-07T03:42:03,low
151,SA,Riyadh,home,2024-10-29T14:01:41,low
152,SA,Madinah,fashion,2025-10-08T18:46:35,medium
153,AE,Dubai,home,2024-07-16T17:00:30,low
154,SA,Madinah,grocery,2024-04-06T11:41:24,medium
155,KW,Kuwait City,sports,2025-09-23T12:16:46,medium
156,AE,Sharjah,pharmacy,2024-07-20T04:37:38,low
157,EG,Giza,electronics,2024-10-28T07:59:03,low
158,QA,Doha,pharmacy,2025-10-07T20:21:44,low
159,SA,Makkah,fashion,2025-09-11T05:55:24,low
160,SA,Riyadh,electronics,2024-12-10T02:06:38,high
161,OM,Muscat,fashion,2024-05-06T10:55:36,low
162,SA,Jeddah,grocery,2026-02-22T23:06:45,low
163,SA,Makkah,pharmacy,2024-09-03T15:20:12,medium
164,BH,Manama,home,2026-01-27T15:34:43,low
165,SA,Dammam,home,2024-01-30T14:20:15,high
166,SA,Dammam,electronics,2025-06-19T20:38:25,low
167,SA,Makkah,sports,2024-06-11T03:20:16,low
168,SA,Tabuk,books,2026-01-07T05:40:12,low
169,QA,Doha,electronics,2025-03-16T03:15:00,low
170,SA,Khobar,books,2024-05-20T02:01:23,low
171,SA,Tabuk,home,2024-06-09T00:22:29,medium
172,KW,Kuwait City,electronics,2024-02-10T05:06:20,low
173,QA,Doha,books,2025-09-01T02:34:32,medium
174,AE,Sharjah,fashion,2025-11-02T08:52:08,low
175,AE,Abu Dhabi,fashion,2024-02-18T12:43:08,medium
176,SA,Khobar,grocery,2024-08-14T16:30:46,medium
177,SA,Madinah,pharmacy,2025-01-29T19:32:30,low
178,SA,Tabuk,sports,2026-02-13T10:32:02,medium
179,SA,Riyadh,beauty,2025-07-05T13:51:39,medium
180,SA,Tabuk,grocery,2025-07-06T09:40:37,low
181,SA,Dammam,fashion,2025-12-15T12:28:12,low
182,SA,Dammam,grocery,2024-06-08T04:28:44,medium
183,AE,Sharjah,fashion,2025-10-24T17:41:09,low
184,SA,Dammam,pharmacy,2025-01-04T23:58:14,low
185,KW,Kuwait City,grocery,2024-07-14T01:26:50,low
186,SA,Jeddah,grocery,2024-06-10T10:01:08,medium
187,EG,Giza,home,2024-04-08T10:14:21,low
188,AE,Ajman,grocery,2025-01-11T08:22:16,medium
189,EG,Cairo,fashion,2024-08-05T22:05:24,low
190,AE,Abu Dhabi,grocery,2024-11-18T07:35:19,low
191,SA,Madinah,books,2024-06-21T23:31:22,medium
192,SA,Riyadh,grocery,2024-07-31T02:04:59,high
193,SA,Madinah,home,2024-08-19T08:45:51,low
194,SA,Dammam,grocery,2025-11-15T09:25:36,low
195,SA,Makkah,grocery,2024-11-27T17:32:20,high
196,AE,Ajman,electronics,2024-09-09T02:37:51,low
197,OM,Muscat,books,2024-10-27T16:47:47,low
198,AE,Dubai,electronics,2025-05-14T09:33:08,low
199,SA,Makkah,pharmacy,2025-09-25T11:19:20,medium
200,SA,Tabuk,pharmacy,2024-05-31T08:38:48,high
201,AE,Abu Dhabi,grocery,2025-01-27T07:14:57,low
202,SA,Dammam,grocery,2025-09-29T19:51:51,medium
203,QA,Doha,electronics,2024-10-12T04:19:04,low
204,KW,Kuwait City,home,2024-03-08T23:54:35,low
205,AE,Dubai,fashion,2024-07-11T19:18:18,medium
206,SA,Tabuk,grocery,2024-03-21T17:57:24,low
207,SA,Tabuk,grocery,2025-01-02T09:11:12,low
208,SA,Jeddah,grocery,2026-01-09T21:35:57,high
209,AE,Dubai,grocery,2024-09-02T13:02:46,low
210,AE,Ajman,grocery,2025-05-24T23:59:22,medium
211,KW,Kuwait City,sports,2024-08-12T12:12:29,low
212,KW,Kuwait City,grocery,2024-02-04T15:09:57,low
213,EG,Giza,beauty,2024-01-25T18:17:10,low
214,SA,Makkah,pharmacy,2025-06-09T16:27:40,medium
215,SA,Dammam,fashion,2025-05-18T06:53:16,low
216,BH,Manama,electronics,2025-09-30T04:31:31,low
217,SA,Khobar,home,2025-10-20T12:19:31,medium
218,SA,Dammam,fashion,2025-03-29T07:23:36,medium
219,SA,Makkah,fashion,2025-07-21T12:08:10,medium
220,SA,Tabuk,beauty,2024-02-14T18:16:10,low
221,SA,Madinah,pharmacy,2024-12-10T03:05:32,low
222,SA,Makkah,fashion,2025-10-12T15:24:59,medium
223,SA,Riyadh,home,2025-06-22T11:26:43,low
224,EG,Cairo,fashion,2025-11-07T10:10:52,low
225,AE,Abu Dhabi,books,2026-01-06T06:36:02,high
226,QA,Doha,books,2025-04-17T16:24:20,low
227,AE,Dubai,grocery,2024-08-14T03:22:03,low
228,SA,Riyadh,grocery,2025-10-27T22:00:23,medium
229,SA,Madinah,beauty,2026-02-20T09:17:32,low
230,SA,Jeddah,electronics,2024-11-25T01:42:53,low
231,SA,Dammam,fashion,2025-08-27T20:16:27,low
232,SA,Madinah,home,2024-04-11T19:53:31,low
233,QA,Doha,books,2025-07-14T17:48:23,low
234,SA,Khobar,home,2025-08-24T04:36:55,low
235,SA,Tabuk,electronics,2025-07-09T15:08:12,low
236,EG,Cairo,books,2025-04-24T00:14:54,low
237,SA,Dammam,grocery,2024-09-06T13:19:13,medium
238,SA,Makkah,grocery,2025-01-21T15:05:19,medium
239,SA,Khobar,books,2025-11-20T12:54:43,low
240,SA,Jeddah,electronics,2025-02-11T09:42:09,low
241,SA,Dammam,home,2025-09-09T06:51:04,low
242,SA,Jeddah,grocery,2026-02-11T10:04:44,medium
243,SA,Makkah,beauty,2024-08-03T23:36:29,low
244,SA,Dammam,fashion,2025-02-11T04:08:13,low
245,SA,Madinah,sports,2024-12-05T17:48:55,low
246,SA,Makkah,grocery,2024-10-15T10:39:37,low
247,SA,Riyadh,electronics,2025-03-09T04:22:08,low
248,SA,Makkah,grocery,2025-10-05T23:32:14,low
249,SA,Riyadh,grocery,2025-10-09T07:40:46,low
250,SA,Dammam,sports,2024-10-19T22:20:25,low
251,EG,Giza,pharmacy,2026-02-20T06:36:10,high
252,KW,Kuwait City,beauty,2025-12-20T10:24:45,low
253,SA,Khobar,electronics,2025-09-25T03:16:18,low
254,BH,Manama,grocery,2025-03-13T12:21:34,low
