customer_id,country,city,signup_ts,is_business,loyalty_tier
1,EG,Giza,2024-05-04T09:53:13,0,silver
2,SA,Tabuk,2025-04-15T13:51:25,0,silver
3,KW,Kuwait City,2024-11-28T04:59:33,0,none
4,AE,Ajman,2024-10-18T03:13:34,0,gold
5,SA,Tabuk,2025-10-31T02:38:33,1,silver
6,OM,Muscat,2024-11-28T12:07:35,1,silver
7,EG,Giza,2025-07-15T03:31:27,1,silver
8,EG,Alexandria,2024-09-03T19:24:41,0,none
9,SA,Makkah,2024-11-06T17:42:35,0,none
10,SA,Jeddah,2024-08-04T13:37:17,1,silver
11,SA,Makkah,2026-02-09T05:07:14,0,none
12,QA,Doha,2025-08-30T07:46:06,0,none
13,AE,Sharjah,2024-05-27T07:42:46,0,none
14,EG,Alexandria,2024-08-30T00:27:32,0,silver
15,SA,Makkah,2026-01-26T15:01:17,1,platinum
16,SA,Dammam,2024-03-31T21:26:33,0,none
17,AE,Ajman,2025-02-03T13:02:02,1,gold
18,SA,Jeddah,2024-05-12T02:27:20,0,none
19,EG,Giza,2025-02-14T08:12:28,0,gold
20,AE,Ajman,2025-01-03T06:55:17,0,none
21,EG,Cairo,2025-09-22T11:54:02,0,none
22,SA,Jeddah,2025-01-01T16:40:26,1,platinum
23,OM,Muscat,2025-01-02T00:02:41,0,none
24,KW,Kuwait City,2025-12-18T12:55:43,0,none
25,EG,Alexandria,2025-09-30T08:37:52,0,silver
26,SA,Tabuk,2025-05-02T17:31:04,0,none
27,SA,Madinah,2025-09-30T22:12:54,0,none
28,SA,Jeddah,2024-02-29T20:36:12,0,none
29,SA,Tabuk,2025-06-16T13:04:13,0,silver
30,AE,Sharjah,2026-01-23T03:54:47,0,none
31,EG,Alexandria,2024-07-02T07:36:36,0,none
32,BH,Manama,2024-10-16T05:11:17,0,silver
33,SA,Dammam,2026-01-11T11:25:46,0,none
34,SA,Riyadh,2024-12-11T04:31:41,0,silver
35,SA,Khobar,2024-07-21T04:10:56,0,none
36,SA,Madinah,2025-06-14T09:03:16,0,none
37,SA,Khobar,2024-11-23T23:01:45,0,none
38,SA,Jeddah,2025-08-16T04:56:49,0,silver
39,SA,Riyadh,2025-10-21T21:18:21,1,silver
40,AE,Dubai,2025-09-06T01:43:58,0,none
41,SA,Makkah,2025-10-12T05:04:39,1,platinum
42,EG,Giza,2024-06-23T09:31:26,0,none
43,AE,Sharjah,2024-07-24T22:04:17,0,none
44,SA,Makkah,2025-08-27T01:34:17,0,none
45,EG,Alexandria,2025-01-05T19:15:07,1,silver
46,EG,Cairo,2024-06-15T02:03:01,0,silver
47,SA,Madinah,2024-01-19T00:55:46,0,none
48,SA,Dammam,2025-07-14T18:41:36,1,silver
49,AE,Dubai,2025-09-13T00:19:29,0,silver
50,SA,Jeddah,2025-03-07T13:02:02,0,none
51,SA,Makkah,2024-06-15T10:54:22,1,gold
52,SA,Khobar,2025-11-05T10:07:38,1,gold
53,EG,Cairo,2024-07-04T02:04:44,0,silver
54,AE,Sharjah,2025-02-26T06:18:48,0,none
55,AE,Ajman,2025-11-10T01:14:20,0,none
56,EG,Cairo,2024-11-15T03:21:08,0,none
57,SA,Dammam,2024-05-10T19:45:09,0,none
58,AE,Dubai,2024-12-17T16:00:31,0,none
59,SA,Jeddah,2025-02-11T14:29:07,0,none
60,SA,Khobar,2024-10-06T11:51:27,0,none
61,AE,Ajman,2024-11-20T19:12:04,0,silver
62,SA,Tabuk,2024-02-20T19:19:07,0,silver
63,AE,Sharjah,2024-12-09T20:50:16,1,gold
64,EG,Giza,2025-11-10T08:46:33,0,none
65,AE,Sharjah,2024-06-02T08:32:34,0,none
66,AE,Dubai,2025-11-21T09:05:08,0,silver
67,AE,Abu Dhabi,2025-05-12T09:26:12,0,silver
68,SA,Dammam,2025-09-04T08:34:38,0,none
69,SA,Riyadh,2025-06-05T12:47:54,0,none
70,SA,Riyadh,2025-07-16T01:54:05,0,silver
71,SA,Tabuk,2024-09-04T16:05:18,0,silver
72,SA,Tabuk,2025-01-23T15:02:05,0,none
73,KW,Kuwait City,2025-10-09T02:35:16,0,silver
74,SA,Tabuk,2024-06-14T08:29:57,0,silver
75,SA,Madinah,2025-06-28T06:34:28,1,platinum
76,SA,Dammam,2024-12-03T04:47:55,0,none
77,SA,Tabuk,2024-04-29T14:57:00,0,gold
78,AE,Dubai,2024-05-02T17:25:09,1,silver
79,AE,Abu Dhabi,2025-10-06T10:25:40,0,silver
80,EG,Giza,2025-09-08T06:15:24,0,gold
81,AE,Dubai,2024-02-13T19:48:38,1,silver
82,SA,Jeddah,2024-08-09T01:55:19,0,none
83,EG,Alexandria,2025-04-05T22:05:07,0,silver
84,SA,Tabuk,2026-02-04T03:16:57,0,gold
85,SA,Tabuk,2024-05-09T05:47:57,1,platinum
86,SA,Jeddah,2025-06-11T17:12:57,0,silver
