product_id,category,brand,base_price,weight_kg
1,home,Zenith,19.98,0.467
2,grocery,Nimbus,27.22,1.149
3,fashion,Acme,16.37,1.719
4,grocery,Vento,20.48,7.214
5,electronics,Nimbus,6.72,1.937
6,fashion,Zenith,10.94,0.324
7,sports,Nova,36.32,0.817
8,beauty,Nova,73.65,1.694
9,pharmacy,Nimbus,14.24,2.678
10,electronics,Nimbus,25.09,4.536
11,electronics,Nimbus,65.81,2.057
12,home,Zenith,59.24,0.953
13,grocery,Atlas,26.17,0.369
14,fashion,Karma,9.77,0.992
15,sports,Nimbus,13.64,0.259
16,beauty,Karma,26.15,0.242
17,sports,Nova,13.45,1.235
18,grocery,Vento,43.77,1.039
19,pharmacy,Acme,12.57,8.756
20,grocery,Karma,33.01,0.312
21,home,Karma,11.57,1.998
22,home,Vento,5.95,0.84
23,electronics,Orchid,56.31,0.98
24,pharmacy,Vento,43.62,0.596
25,home,Acme,18.48,1.746
26,grocery,Karma,10.47,0.879
27,grocery,Orchid,28.61,2.406
28,grocery,Karma,71.2,1.53
29,sports,Orchid,20.84,2.654
30,home,Karma,10.6,5.006
31,grocery,Pulse,31.05,2.253
32,grocery,Orchid,34.67,0.56
33,books,Lumen,15.53,0.836
34,pharmacy,Lumen,47.69,0.915
35,grocery,Zenith,48.74,0.742
36,home,Vento,15.42,0.276
37,fashion,Acme,35.92,0.545
38,electronics,Nova,35.89,1.247
39,home,Atlas,21.52,1.385
40,home,Pulse,17.37,0.581
41,fashion,Vento,28.49,1.076
42,electronics,Karma,14.91,2.814
43,grocery,Acme,19.18,1.179
44,grocery,Orchid,8.77,3.248
45,grocery,Orchid,15.21,0.648
46,beauty,Acme,19.2,1.935
47,home,Lumen,41.87,0.991
48,home,Lumen,33.42,2.379
49,fashion,Nova,18.09,1.32
50,home,Atlas,22.56,0.756
51,beauty,Acme,20.94,1.934
52,beauty,Nimbus,13.96,0.448
53,fashion,Vento,16.92,3.733
54,home,Orchid,20.4,0.402
55,grocery,Orchid,26.82,1.6
56,beauty,Acme,42.66,4.222
57,electronics,Zenith,11.79,0.828
58,grocery,Karma,129.38,1.525
59,fashion,Nova,17.27,0.768
60,books,Acme,16.88,6.512
61,home,Lumen,13.21,3.775
62,grocery,Acme,14.27,2.344
63,grocery,Nova,16.93,0.215
64,beauty,Karma,13.08,0.917
