refund_id,order_id,refund_ts,reason,amount
1,299585,2026-02-04T17:13:05,customer_return,193.61
2,235682,2025-12-10T17:56:44,other,6.38
3,304195,2024-11-01T07:18:05,merchant_cancel,64.23
4,408827,2025-11-17T12:45:24,delivery_issue,5.3
5,422247,2025-01-24T23:02:58,delivery_issue,272.96
6,262293,2024-08-12T22:55:10,fraud,55.23
7,147340,2026-01-19T02:52:29,delivery_issue,221.23
8,248806,2024-08-23T17:45:52,delivery_issue,83.94
9,462877,2024-04-29T06:48:54,customer_return,25.07
10,42074,2025-08-15T02:25:24,customer_return,129.17
11,183326,2025-12-22T23:16:38,customer_return,34.64
12,23165,2024-10-10T20:53:32,merchant_cancel,3.23
13,207829,2024-09-10T03:01:19,delivery_issue,92.23
14,275418,2024-07-17T21:04:39,other,13.51
15,360900,2025-10-23T14:43:48,delivery_issue,258.53
16,313313,2026-01-06T11:28:03,merchant_cancel,80.69
17,229076,2025-11-28T19:06:05,customer_return,214.11
18,4456,2024-11-30T16:12:31,merchant_cancel,50.45
19,400669,2025-09-27T23:34:16,fraud,53.93
20,317325,2024-08-18T23:09:26,customer_return,186.66
21,265526,2025-08-19T19:38:33,delivery_issue,128.17
22,361938,2024-10-27T12:52:48,customer_return,97.22
23,17499,2024-08-24T15:41:13,merchant_cancel,287.71
24,194223,2025-05-31T19:47:15,duplicate_charge,95.18
25,325919,2024-08-30T16:50:57,customer_return,47.43
26,487705,2024-06-25T02:17:48,fraud,95.8
27,258965,2024-03-23T19:46:41,merchant_cancel,97.18
28,202066,2024-08-11T07:39:58,customer_return,288.75
29,232310,2025-07-03T11:12:07,customer_return,154.77
30,181463,2025-01-03T16:22:52,customer_return,9.35
31,10035,2025-08-25T15:36:17,customer_return,74.79
32,29717,2025-03-25T07:17:35,merchant_cancel,27.6
33,4358,2025-02-17T09:16:41,customer_return,23.57
34,310559,2025-06-10T03:03:55,customer_return,1.76
35,255213,2025-07-28T21:30:27,other,86.52
36,313534,2024-01-26T07:00:19,delivery_issue,83.01
37,413922,2024-08-20T19:01:03,customer_return,119.57
38,146102,2024-02-20T14:26:58,customer_return,278.62
39,270047,2024-08-24T09:37:26,merchant_cancel,20.8
40,300579,2024-06-24T03:48:44,fraud,57.64
41,147230,2024-11-18T19:42:38,merchant_cancel,85.93
42,11349,2025-08-23T02:41:15,customer_return,71.85
43,425270,2024-03-06T22:45:17,customer_return,92.39
